Emotions,Path
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-03-01-01-01-11.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-02-02-01-02-11.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-02-01-02-02-11.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-01-01-02-01-11.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-03-02-01-02-11.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-03-01-02-02-11.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-02-02-02-01-11.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-01-01-01-02-11.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-02-01-01-01-11.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-05-01-01-01-11.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-06-01-01-02-11.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-06-02-02-02-11.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-05-02-02-01-11.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-07-01-02-01-11.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-04-01-02-02-11.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-04-02-01-02-11.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-07-02-01-01-11.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-08-02-01-01-11.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_11/03-01-08-01-02-01-11.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-02-01-02-18.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-01-02-02-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-02-02-01-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-01-01-01-18.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-01-01-01-02-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-01-01-02-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-01-01-01-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-02-02-01-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-02-02-02-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-01-02-02-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-01-02-01-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-02-01-01-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-02-01-02-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-02-01-01-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-01-02-01-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-01-02-02-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-01-02-01-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-02-01-01-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-02-01-02-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-01-01-02-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-01-01-01-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-02-02-01-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-02-02-02-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-02-02-02-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-01-01-02-18.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-02-02-01-18.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-01-01-01-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-02-01-02-18.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-01-01-02-01-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-01-02-02-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-02-01-01-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-02-01-02-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-01-02-02-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-01-02-01-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-02-02-01-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-02-02-02-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-01-01-02-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-01-01-01-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-01-02-02-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-02-01-02-18.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-01-01-01-01-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-01-01-02-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-02-02-02-18.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-01-02-01-18.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-02-01-01-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-01-02-01-18.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-01-01-02-02-18.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-02-02-01-01-18.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-01-01-02-18.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-03-02-02-02-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-02-02-01-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-02-02-02-18.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-04-01-01-02-18.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-07-01-01-01-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-02-01-01-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-02-01-02-18.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-06-01-02-02-18.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-05-01-02-01-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-01-01-01-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_18/03-01-08-02-02-01-18.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-01-02-01-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-02-01-01-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-02-01-02-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-02-01-01-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-01-02-01-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-01-02-02-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-02-02-02-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-02-02-01-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-01-01-01-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-01-01-02-20.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-01-01-01-02-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-01-01-01-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-02-02-01-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-01-02-02-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-02-01-02-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-01-02-02-20.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-01-01-02-01-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-02-01-02-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-01-01-01-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-02-02-01-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-01-01-02-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-02-02-02-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-02-02-02-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-02-02-01-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-01-01-01-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-01-01-02-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-02-01-02-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-02-01-01-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-01-02-01-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-01-02-02-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-02-01-01-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-01-02-01-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-02-02-02-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-01-01-02-20.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-01-01-01-01-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-02-01-02-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-01-02-02-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-01-01-01-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-01-01-02-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-02-02-02-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-02-02-01-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-01-02-01-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-01-02-02-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-02-01-02-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-02-01-01-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-02-02-01-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-08-01-01-01-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-01-02-01-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-01-02-02-20.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-06-02-01-02-20.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-05-02-01-01-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-01-01-01-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-01-01-02-20.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-04-02-02-02-20.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-07-02-02-01-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-02-02-02-20.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-03-01-01-02-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-02-01-01-20.wav
neutral,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-01-01-02-02-20.wav
calm,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_20/03-01-02-01-02-01-20.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-08-02-01-01-21.wav
surprise,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-08-01-02-01-21.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-06-01-01-02-21.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-05-01-01-01-21.wav
angry,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-05-02-02-01-21.wav
fear,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-06-02-02-02-21.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-04-01-02-02-21.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-07-01-02-01-21.wav
disgust,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-07-02-01-01-21.wav
sad,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-04-02-01-02-21.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-03-02-01-02-21.wav
happy,./ravdess-emotional-speech-audio/audio_speech_actors_01-24/Actor_21/03-01-03-01-02-02-21.wav
